 VIETNAM         | VIETNAM         |   1992 | 5111731778
 INDONESIA       | VIETNAM         |   1995 | 5574974066
 JAPAN           | INDIA           |   1995 | 5730743126
 VIETNAM         | VIETNAM         |   1995 | 5754727607
 JAPAN           | INDONESIA       |   1995 | 5947000735
 JAPAN           | JAPAN           |   1995 | 5952279129
 INDIA           | INDONESIA       |   1995 | 5975518597
 INDIA           | CHINA           |   1995 | 6010532793
 INDONESIA       | JAPAN           |   1995 | 6019093871
 CHINA           | JAPAN           |   1995 | 6021854130
 VIETNAM         | INDONESIA       |   1995 | 6057820148
 INDONESIA       | INDIA           |   1995 | 6173805183
 VIETNAM         | INDIA           |   1995 | 6198441957
 CHINA           | INDIA           |   1995 | 6246656374
 VIETNAM         | JAPAN           |   1995 | 6263957020
 INDONESIA       | INDONESIA       |   1995 | 6268531321
 VIETNAM         | CHINA           |   1995 | 6332731268
 JAPAN           | CHINA           |   1995 | 6519889385
 CHINA           | CHINA           |   1995 | 6624666612
 INDONESIA       | CHINA           |   1995 | 6928620620
 CHINA           | INDONESIA       |   1995 | 7074539444
 INDIA           | VIETNAM         |   1996 | 5293891531
 JAPAN           | VIETNAM         |   1996 | 5334277549
 CHINA           | VIETNAM         |   1996 | 5434772818
 INDONESIA       | VIETNAM         |   1996 | 5438514387
 INDIA           | INDIA           |   1996 | 5532073103
 JAPAN           | JAPAN           |   1996 | 5566204795
 JAPAN           | INDIA           |   1996 | 5644579616
 VIETNAM         | INDIA           |   1996 | 5807486983
 INDIA           | JAPAN           |   1996 | 5841664805
 VIETNAM         | VIETNAM         |   1996 | 5860842302
 VIETNAM         | JAPAN           |   1996 | 5919997150
 INDONESIA       | JAPAN           |   1996 | 6055638222
 JAPAN           | CHINA           |   1996 | 6088985564
 CHINA           | JAPAN           |   1996 | 6105566324
 INDONESIA       | INDIA           |   1996 | 6138810863
 CHINA           | INDIA           |   1996 | 6153787365
 INDIA           | INDONESIA       |   1996 | 6189242058
 INDIA           | CHINA           |   1996 | 6198567819
 JAPAN           | INDONESIA       |   1996 | 6227447856
 VIETNAM         | INDONESIA       |   1996 | 6295626732
 VIETNAM         | CHINA           |   1996 | 6428653890
 CHINA           | CHINA           |   1996 | 6591697915
 INDONESIA       | CHINA           |   1996 | 6613439112
 CHINA           | INDONESIA       |   1996 | 6657125075
 INDONESIA       | INDONESIA       |   1996 | 6750056283
 INDIA           | VIETNAM         |   1997 | 5003624837
 JAPAN           | VIETNAM         |   1997 | 5249874614
 INDIA           | JAPAN           |   1997 | 5587827913
 VIETNAM         | VIETNAM         |   1997 | 5620251324
 INDONESIA       | VIETNAM         |   1997 | 5665678132
 VIETNAM         | JAPAN           |   1997 | 5689345230
 INDIA           | INDIA           |   1997 | 5693028907
 VIETNAM         | INDIA           |   1997 | 5730121608
 INDONESIA       | INDIA           |   1997 | 5789367105
 JAPAN           | JAPAN           |   1997 | 5790450039
 JAPAN           | INDIA           |   1997 | 5796921992
 CHINA           | VIETNAM         |   1997 | 5908254176
 JAPAN           | CHINA           |   1997 | 5973849687
 INDIA           | INDONESIA       |   1997 | 5983439300
 INDONESIA       | JAPAN           |   1997 | 6001427956
 CHINA           | INDIA           |   1997 | 6084283983
 INDIA           | CHINA           |   1997 | 6153282214
 VIETNAM         | CHINA           |   1997 | 6164218723
 CHINA           | JAPAN           |   1997 | 6284733518
 VIETNAM         | INDONESIA       |   1997 | 6363583120
 INDONESIA       | INDONESIA       |   1997 | 6398427821
 JAPAN           | INDONESIA       |   1997 | 6429270126
 CHINA           | CHINA           |   1997 | 6463794795
 INDONESIA       | CHINA           |   1997 | 6577396314
 CHINA           | INDONESIA       |   1997 | 6653234696
